seller_id,avg_rating,review_count,average_sentiment_score
0015a82c2db000af6aaaf3ae2ecb0532,3.6666666666666665,3,0.3333333333333333
001cca7ae9ae17fb1caed9dfb1094831,3.8744769874476988,239,0.5188284518828452
001e6ad469a905060d959994f1b41e4f,1.0,1,-1.0
002100f778ceb8431b7a1020ff7ab48f,3.982142857142857,56,0.5535714285714286
004c9cd9d87a3c30c522c48c4fc07416,4.078787878787879,165,0.5818181818181818
00720abe85ba0859807595bbf045a33b,3.6538461538461537,26,0.4230769230769231
00ab3eff1b5192e5f1a63bcecfee11c8,5.0,1,1.0
00d8b143d12632bad99c0ad66ad52825,5.0,1,1.0
00ee68308b45bc5e2660cd833c3f81cc,4.335260115606936,173,0.7456647398843931
00fc707aaaad2d31347cf883cd2dfe10,3.7202797202797204,143,0.40559440559440557
010543a62bd80aa422851e79a3bc7540,4.5,2,1.0
010da0602d7774602cd1b3f5fb7b709e,1.0,5,-1.0
011b0eaba87386a2ae96a7d32bb531d1,4.0,2,1.0
01266d4c46afa519678d16a8b683d325,5.0,3,1.0
013900e863eace745d3ec7614cab5b1a,4.730769230769231,26,0.8846153846153846
014c0679dd340a0e338872e7ec85666a,3.6666666666666665,15,0.4
014d9a685fd57276679edd00e07089e5,3.8333333333333335,12,0.5
0176f73cc1195f367f7b32db1e5b3aa8,4.0256410256410255,39,0.5384615384615384
01bcc9d254a0143f0ce9791b960b2a47,4.090909090909091,11,0.7272727272727273
01c97ebb5cdac52891c0ed1c37ba0012,4.083333333333333,12,0.5833333333333334
01cf7e3d21494c41fb86034f2e714fa1,4.2615384615384615,65,0.7384615384615385
01ed254b9ff8407dfb9d99ba1e17d923,5.0,5,1.0
01fd077212124329bac32490e8ef80d9,4.3076923076923075,39,0.717948717948718
01fdefa7697d26ad920e9e0346d4bd1b,4.351145038167939,131,0.7786259541984732
0241d4d5d36f10f80c644447315af0bd,4.2730923694779115,249,0.6987951807228916
0249d282d911d23cb8b869ab49c99f53,4.2727272727272725,11,0.5454545454545454
024b564ae893ce8e9bfa02c10a401ece,4.75,8,1.0
02a2272692e13558373c66db98f05e2e,3.0,2,0.0
02b72cdeb9cfcc429f1af6f4e3f3b737,4.75,4,1.0
02c988090b766852e088c69d7fb3b551,4.588235294117647,17,0.8235294117647058
02d35243ea2e497335cd0f076b45675d,2.6875,16,-0.0625
