product_id,total_sales,product_weight_g,segment_turnover
00066f42aeeb9f3007548bb9d3f33c38,101.65,300.0,Medium
00088930e925c41fd95ebfe695fd2655,129.9,1225.0,Medium
0009406fd7479715e4bef61dd91f2462,229.0,300.0,High
000b8f95fcb9e0096488278317764d19,117.8,550.0,Medium
000d9be29b5207b54e86aa1b1ac54872,199.0,250.0,High
0011c512eb256aa0dbbb544d8dffcf6e,52.0,100.0,Low
00126f27c813603687e6ce486d909d01,498.0,700.0,Top Turnover
001795ec6f1b187d37335e1c4704762e,350.09999999999997,600.0,Top Turnover
001b237c0e9bb435f2e54071129237e9,78.9,6000.0,Medium
001b72dfd63e9833e8c02742adf472e3,489.86,600.0,Top Turnover
001c5d71ac6ad696d22315953758fa04,79.9,1800.0,Medium
00210e41887c2a8ef9f791ebc780cc36,233.89,300.0,High
002159fe700ed3521f46cfcf6e941c76,1618.6,1850.0,Top Turnover
0021a87d4997a48b6cef1665602be0f5,29.0,650.0,Low
00250175f79f584c14ab5cecd80553cd,829.89,750.0,Top Turnover
002552c0663708129c0019cc97552d7d,108.0,355.0,Medium
002959d7a0b0990fe2d69988affcbc80,129.9,2600.0,Medium
002af88741ba70c7b5cf4e4a0ad7ef85,234.0,600.0,High
002c6dab60557c48cfd6c2222ef7fd76,79.9,350.0,Medium
002d4ea7c04739c130bb74d7e7cd1694,43.0,200.0,Low
002ec297b1b00fb9dde7ee6ac24b6771,16.0,150.0,Low
0030026a6ddb3b2d1d4bc225b4b4c4da,39.9,800.0,Low
0030e635639c898b323826589761cf23,306.0,1550.0,High
003128f981470c3e5a2e7445e4a771cd,199.96,1550.0,High
0036bb031e69d915cd384d1b3838b5d3,35.99,200.0,Low
003938452c98ff9ab28e9e7b4bfe97ab,179.9,5050.0,High
003962cb74a8b43cf1034fed541a76f0,94.9,1000.0,Medium
003a31970fea14fffe92ac856b8a9b97,666.0,1850.0,Top Turnover
003c0b8f6580c850bd2e32044d2ac307,898.0,21100.0,Top Turnover
003dbcabcf8e3231de657c7d9f9a5eba,72.0,1800.0,Medium
004154251837f6ac124ad4374b3a8148,14.9,150.0,Low
0042f1a9a7e0edd1400c6cd0fda065f8,39.9,175.0,Low
0043c62d00db47eff6a6bc4cf6bfaeda,527.99,380.0,Top Turnover
0043d1a25ef08fb6f41b8fa6f91742ab,390.0,20400.0,Top Turnover
0044d70d4e53450c0fbb8255446a797b,19.25,200.0,Low
004552d98c5d3653af8b4dbe8def0048,349.9,900.0,Top Turnover
004636c889c7c3dad6631f136b7fa082,196.0,550.0,High
004ffcbfa5aac82212a95bc972ea8a85,229.0,10000.0,High
005030ef108f58b46b78116f754d8d38,191.87,50.0,High
005c6b24cc96dca3e2c01e824401030e,43.5,400.0,Low
0060b415594c5e1200324ef1a18493c4,69.99,1200.0,Medium
00636f9286f69c9f1bdabe76e670fb50,55.8,500.0,Low
006508eabcc19ae52ed87323124ad0e9,34.89,246.0,Low
006619bbed68b000c8ba3f8725d5409e,68.5,150.0,Medium
0067f97995b0c3a86739734dc87ee6b6,79.0,200.0,Medium
006baa9a5b8f95895f15273a35bc2664,299.70000000000005,950.0,High
006c67546bfe73c33b83f6bd1ad58c36,59.9,4550.0,Low
00716e5593e8eea55dbe7a29b72a70bc,37.0,250.0,Low
00738f5a17ec4450e88915357b085c1e,23.9,600.0,Low
0075c14603d80515e20908c156ceb47b,99.8,150.0,Medium
007c63ae4b346920756b5adcad8095de,463.95,2800.0,Top Turnover
0081787b18cce4acc2d1adec4520d7ba,521.9,1340.0,Top Turnover
0085dddda27567189f1dfd1eda7c286e,179.8,1800.0,High
008686d56f4c85b987a4c24a286834c1,207.0,2200.0,High
00878d953636afec00d3e85d55a12e7f,1100.0,2550.0,Top Turnover
008b0ec3de3638637099f97add750136,69.49,690.0,Medium
008b51e6be49ee039854b5e35c331b02,270.9,633.0,High
008cff0e5792219fae03e570f980b330,3054.88,1550.0,Top Turnover
00905d58c87afcbce21420b3712cacaa,799.5,3875.0,Top Turnover
00917855135d67fb060dcd81863166a4,119.69999999999999,1133.0,Medium
0091d85023824de2d33252310c952307,298.66,450.0,High
00929aaa7751a77220db9caa1ae6d3ab,29.9,2800.0,Low
0092a9e1c8a471753ed7ffa7eef5086e,134.7,350.0,Medium
00989337a1916a0055eedd1fdb35eb53,37.5,800.0,Low
009af1277432f1a05742df69cdf72d1e,404.5,700.0,Top Turnover
009c09f439988bc06a93d6b8186dce73,132.4,150.0,Medium
009df2b0bc078648fc4f5898de8cabff,949.9,23250.0,Top Turnover
00a0db09dc7c94d512ec51900141ed69,49.99,400.0,Low
00a8c742ae1da97e9064205459977e6c,14.99,150.0,Low
00a985c524adbb97a4211e4ce17aabec,24.99,250.0,Low
00aa70fd749f3b9ce8ca4bc914a9e7b1,17.46,700.0,Low
00ae7076313576f94d9107599d79a978,269.70000000000005,600.0,High
00b264091d1c8df03976c3f3b176b35c,129.01,250.0,Medium
00b4155166f994ba9da3cf001eb80505,94.0,1125.0,Medium
00b782074a5ec523bf31951b4935d572,66.0,250.0,Medium
00ba6d766f0b1d7b78a5ce3e1e033263,737.9,7850.0,Top Turnover
00baba5b58e274d0332a0c8a0a66f877,574.8,200.0,Top Turnover
00bb62ea3729537a687c3fddcd123662,537.76,12100.0,Top Turnover
00bc6e6d4ceb98ec7ed058b0a243a8b9,16.56,200.0,Low
00be617b58175bf207fd35910d5097a4,244.5,900.0,High
00c1e6d55fe174bfbb179257255e49bb,146.65,187.0,High
00c3e35b00dd00ab864d4a94c1b97e66,199.98,512.0,High
00c407e056c74eb8040a1233ca6da16f,84.9,650.0,Medium
00c744ca2f3b0e76ce227b146095d3f9,33.9,350.0,Low
00c794371af4dc7c5b6ba3ef913556bb,10.9,150.0,Low
00cc15e0cef551848c797ab75ba904b1,749.99,300.0,Top Turnover
00cf06147ed4880ec5fbba2adbb20e1d,21.0,350.0,Low
00d2add85b1f5aba6bb3d5d977314e25,702.11,9050.0,Top Turnover
00d2fa6f2a87633084c8e0400d41a65a,113.9,18550.0,Medium
00d363b8c14bb9a6c73febc4c42acf47,19.9,200.0,Low
00d51a45854ebce28acda79f414388ee,31.9,225.0,Low
00d62d0388b0786d730a1aaed91c0ae0,13.9,300.0,Low
00d93a09990b319a7c946ed7a8c67656,169.9,3400.0,High
00dc8a1b2de45a7fca5921544e5f351d,83.99,1550.0,Medium
00ddaddbe03b7103d80daee96892363f,26.99,200.0,Low
00de606a5dda99c2499f94ef18282977,118.8,1650.0,Medium
00de7f393d962717eeeb2d7131a40dba,1914.2,300.0,Top Turnover
00df6fc5f33cc3f7ceec4ec6337d9cd7,999.99,500.0,Top Turnover
